OBJECTID,FID_MZGE61FL,DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,created_user,created_date,last_edited_user,last_edited_date,FID_FTF_ZOI,OBJECTID_1,Distrito,FIRST_DIST,Province,Shape_Leng
85,251,MZ201100000252,MZ,"2,011.000000000000000",252.000000000000000,MZ,MZ08,Tete,Tete,MOZ010,5.000000000000000,Tete,5.000000000000000,Tete,GPS,R,-15.074429208000000,33.458018873999997,"9,999.000000000000000",763.000000000000000,WGS84,,,,,11,11.000000000000000,MACANGA,MACANGA,Tete,"504,695.225297999980000"
86,127,MZ201100000128,MZ,"2,011.000000000000000",128.000000000000000,MZ,MZ06,Nampula,Nampula,MOZ007,3.000000000000000,Nampula,3.000000000000000,Nampula,GPS,R,-14.903340623000000,39.993159356000000,"9,999.000000000000000",198.000000000000000,WGS84,,,,,15,15.000000000000000,MECONTA,MECONTA,Nampula,"382,819.503946000010000"
87,144,MZ201100000145,MZ,"2,011.000000000000000",145.000000000000000,MZ,MZ06,Nampula,Nampula,MOZ007,3.000000000000000,Nampula,3.000000000000000,Nampula,GPS,U,-14.889566235000000,40.331403643000002,"9,999.000000000000000",70.000000000000000,WGS84,,,,,20,20.000000000000000,MONAPO,MONAPO,Nampula,"375,651.206538999980000"
88,124,MZ201100000125,MZ,"2,011.000000000000000",125.000000000000000,MZ,MZ06,Nampula,Nampula,MOZ007,3.000000000000000,Nampula,3.000000000000000,Nampula,GPS,R,-14.939844524000000,37.526996425999997,"9,999.000000000000000",634.000000000000000,WGS84,,,,,13,13.000000000000000,MALEMA,MALEMA,Nampula,"463,670.653066000030000"
89,269,MZ201100000270,MZ,"2,011.000000000000000",270.000000000000000,MZ,MZ08,Tete,Tete,MOZ010,5.000000000000000,Tete,5.000000000000000,Tete,GPS,R,-14.956001175999999,34.479861446000001,"9,999.000000000000000","1,415.000000000000000",WGS84,,,,,25,25.000000000000000,TSANGANO,TSANGANO,Tete,"319,143.059713000020000"
90,145,MZ201100000146,MZ,"2,011.000000000000000",146.000000000000000,MZ,MZ06,Nampula,Nampula,MOZ007,3.000000000000000,Nampula,3.000000000000000,Nampula,GPS,R,-14.841513141000000,40.182102342000000,"9,999.000000000000000",179.000000000000000,WGS84,,,,,20,20.000000000000000,MONAPO,MONAPO,Nampula,"375,651.206538999980000"
91,270,MZ201100000271,MZ,"2,011.000000000000000",271.000000000000000,MZ,MZ08,Tete,Tete,MOZ010,5.000000000000000,Tete,5.000000000000000,Tete,GPS,R,-14.944532418000000,34.200922085999999,"9,999.000000000000000","1,006.000000000000000",WGS84,,,,,25,25.000000000000000,TSANGANO,TSANGANO,Tete,"319,143.059713000020000"
92,125,MZ201100000126,MZ,"2,011.000000000000000",126.000000000000000,MZ,MZ06,Nampula,Nampula,MOZ007,3.000000000000000,Nampula,3.000000000000000,Nampula,GPS,U,-14.909634468000000,36.954221083000000,"9,999.000000000000000",597.000000000000000,WGS84,,,,,13,13.000000000000000,MALEMA,MALEMA,Nampula,"463,670.653066000030000"
93,146,MZ201100000147,MZ,"2,011.000000000000000",147.000000000000000,MZ,MZ06,Nampula,Nampula,MOZ007,3.000000000000000,Nampula,3.000000000000000,Nampula,GPS,R,-14.788990581000000,40.384223028999997,"9,999.000000000000000",184.000000000000000,WGS84,,,,,20,20.000000000000000,MONAPO,MONAPO,Nampula,"375,651.206538999980000"
94,147,MZ201100000148,MZ,"2,011.000000000000000",148.000000000000000,MZ,MZ06,Nampula,Nampula,MOZ007,3.000000000000000,Nampula,3.000000000000000,Nampula,GPS,R,-14.785645038000000,40.038931560000002,"9,999.000000000000000",201.000000000000000,WGS84,,,,,20,20.000000000000000,MONAPO,MONAPO,Nampula,"375,651.206538999980000"
